Mod. VED,Marangoni No.,d/hp,Mode
4.89955904,1592.613618,0.123288702,0
8.846426044,0.417845685,0.054705821,0
9.073257481,11706.05252,0.237526804,0
10.20741467,16368.66907,0.282055207,0
10.61571125,0.457727014,0.059800042,0
10.7177854,12947.71138,0.240343389,0
11.34157185,18629.38464,0.296908504,0
12.2488976,3032.021037,0.130349803,0
12.2488976,8951.451574,0.190778238,0
12.2488976,17166.90909,0.274678159,0
12.2488976,20447.67511,0.308221755,1
12.2488976,23404.14989,0.338466249,0
13.26963907,0.511754359,0.082058732,0
15.44103455,34581.09928,0.35144507,0
15.44103455,46197.33023,0.43530716,0
15.44103455,46197.33023,0.43530716,0
15.44103455,55915.70034,0.505529143,1
15.92356688,0.560598813,0.072777723,0
15.92356688,0.560598813,0.089700063,0
16.33186347,24300.8163,0.315263976,1
17.06096451,14200.11148,0.205366931,0
17.69285209,0.590923034,0.076553908,0
17.69285209,1250.042293,0.109411643,0
18.19836215,20340.5738,0.246541065,0
18.73360809,1610.566759,0.112513236,0
19.49824516,17000.64631,0.218520397,0
19.59823616,48543.75373,0.493154807,1
19.9044586,0.626768527,0.080986148,0
20.22040239,23221.44858,0.25911129,0
21.23142251,2502.65087,0.119600084,0
21.71395483,777.5506153,0.104265386,0
22.74795268,17304.27371,0.212308776,0
22.74795268,20753.54164,0.23457241,0
22.74795268,23909.57153,0.254940463,0
22.74795268,26835.11916,0.273822574,0
24.4977952,9845.893084,0.173025907,0
24.4977952,21918.783,0.260699605,1
25.73505758,34508.71605,0.298085346,0
25.73505758,60510.35049,0.443875399,0
25.73505758,80144.71517,0.553626141,1
25.73505758,80144.71517,0.553626141,0
25.73505758,96535.61989,0.645255618,1
25.73505758,110884.596,0.725511934,1
25.73505758,110884.596,0.725511934,1
25.99766021,31490.1588,0.291360529,0
26.53927813,28837.97178,0.273667812,0
27.29754322,26015.39615,0.254770531,0
28.43494086,22987.79622,0.234391409,0
30.33060358,37694.05151,0.312763214,0
30.8820691,41867.78738,0.320235909,0
30.8820691,73218.7313,0.481079638,1
30.8820691,96911.17288,0.602025295,1
30.8820691,96911.17288,0.602025295,1
30.8820691,116679.8753,0.70289014,1
30.8820691,133975.8428,0.79116513,1
31.84713376,35724.98609,0.297232286,0
32.66372693,52934.63008,0.43547814,1
34.12192903,33872.35544,0.281269691,0
35.70423343,12383.11938,0.146728148,0
36.39672429,46343.24126,0.339694041,0
37.91325447,32363.26233,0.265167356,0
38.60258637,52526.47133,0.348106172,1
38.60258637,91894.71894,0.529502833,1
38.60258637,121713.1265,0.665813099,1
38.60258637,146588.1527,0.779348605,1
38.60258637,168339.3401,0.878612675,1
39.8089172,45973.12352,0.328147973,0
42.8711416,102740.8149,0.667723834,1
45.49590537,46762.01887,0.318200828,1
45.49590537,59182.24562,0.375026254,1
48.9955904,46718.14711,0.346051813,1
51.47011516,69337.64619,0.384568304,1
51.47011516,121966.1388,0.596170692,1
51.47011516,162048.2133,0.755338433,1
51.47011516,162048.2133,0.755338433,1
51.47011516,195509.867,0.887750798,1
51.47011516,224760.1439,1.003375491,1
53.07855626,62724.77789,0.371234299,1
56.86988171,50479.50318,0.312338801,1
60.66120716,80115.08793,0.42426777,1
61.244488,118287.1402,0.651749013,1
68.24385805,71524.72572,0.374806561,1
73.4933856,39665.13154,0.207631088,0
77.20517275,178403.0003,0.696212343,1
77.20517275,238983.9565,0.894256037,1
77.20517275,289753.2197,1.059005665,1
79.61783439,33312.18986,0.252566807,1
79.61783439,94782.91332,0.437274322,1
89.26058357,108695.5564,0.526057105,1
90.99181074,120064.7537,0.499742082,1
97.99118079,255407.8587,1.04279842,1
99.52229299,43660.30168,0.279823288,1
106.1571125,38644.14181,0.254678689,1
132.6963907,60815.86671,0.318348361,1
136.4877161,137921.6227,0.4776058,1
159.2356688,85911.67373,0.382018034,1
159.2356688,180379.2632,0.557206767,1
181.9836215,226408.9151,0.636807734,1
183.733464,219599.5228,0.700241202,1
195.9823616,486963.7131,1.384207253,1
