MODE,Power,Scan Speed,SPOT SIZE(UM),Thickness
0,200,1000,55,75
0,300,1500,55,75
1,400,2000,55,75
0,100,300,55,75
0,200,600,55,75
1,300,900,55,75
1,400,1200,55,75
1,500,1500,55,75
0,100,250,55,75
1,200,500,55,75
1,300,750,55,75
1,400,1000,55,75
1,500,1250,55,75
1,100,200,55,75
1,200,400,55,75
1,300,600,55,75
1,400,800,55,75
1,500,1000,55,75
1,100,150,55,75
1,200,300,55,75
1,300,450,55,75
1,400,600,55,75
1,500,750,55,75
1,200,200,55,75
1,300,300,55,75
1,400,400,55,75
0,137,188,130,50
0,150,100,130,50
1,137,188,52,50
1,150,100,52,50
0,100,1800,100,20
0,100,1500,100,20
0,150,1800,100,20
0,100,1000,100,20
0,150,1500,100,20
0,100,900,100,20
0,200,1800,100,20
0,200,1700,100,20
0,100,800,100,20
0,200,1500,100,20
0,150,1100,100,20
1,250,500,100,20
1,250,400,100,20
1,200,300,100,20
1,300,300,100,20
1,250,300,100,20
0,300,1500,55,75
0,300,900,55,75
1,500,1500,55,75
1,300,750,55,75
1,300,450,55,75
0,100,2500,52,50
0,200,2700,52,50
0,250,3000,52,50
0,175,2000,52,50
0,250,2700,52,50
0,100,1000,52,50
0,200,2000,52,50
1,250,2500,52,50
0,300,3000,52,50
0,50,500,52,50
1,200,1500,52,50
1,400,2500,52,50
1,100,500,52,50
0,50,250,52,50
1,200,750,52,50
1,350,1000,52,50
1,100,250,52,50
1,250,500,52,50
1,400,500,52,50
1,400,250,52,50
0,200,1000,70,50
0,200,900,70,50
0,200,800,70,50
0,200,700,70,50
0,200,600,70,50
0,200,500,70,50
1,200,400,70,50
1,200,300,70,50
1,200,200,70,50
1,200,100,70,50
0,175,700,70,50
0,175,600,70,50
0,175,500,70,50
0,175,400,70,50
1,175,300,70,50
1,175,200,70,50
1,175,100,70,50
0,150,800,70,50
0,150,700,70,50
0,150,600,70,50
0,150,500,70,50
0,150,400,70,50
1,150,300,70,50
1,150,200,70,50
1,150,100,70,50
0,125,500,70,50
0,125,400,70,50
0,125,300,70,50
1,125,200,70,50
